Data updated,22 Jun 2015,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
VDC_NAME,MALE_POP,FEMALE_POP,TOTAL_POP,Latitude,Longitude,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Total Death
Alampu,864,939,1803,27.7136447,86.0135875,1,,2,,,1,2,,1,,,,,7
Babare,"1,638","1,895","3,533",,,,,1,1,,,,,,,,,,2
Bhedapu,"1,596","2,109","3,705",,,,,,,1,,,,,,,,,1
Bhimeswor N.P.,"10,489","12,048","22,537",,,1,2,,5,3,2,2,,2,4,2,,,23
Bhirkot,"1,163","1,399","2,562",,,1,,,,2,,,,,,,,,3
Bhusaphedi,955,"1,136",2091,,,,,,,,1,,,,,,,,1
Bigu,759,853,1612,,,,1,,,,2,,,,,,,,3
Bocha,"1,182","1,617","2,799",,,,,,,,1,,,,,,,,1
Bulung,972,"1,071",2043,,,1,,,,1,1,,,,,,,,3
Chankhu,603,669,1272,,,1,,2,,,,,,1,,,,,4
Chhetrapa,"1,116","1,331","2,447",,,1,,,,,,,,,,,,,1
Chilankha,"1,366","1,509","2,875",,,,,1,,1,2,,7,2,,,,,13
Chyama,"1,266","1,467","2,733",,,,,,,,,,,,,,,,0
Dandakharka,"1,832","2,304","4,136",,,,,,,,,,,,,,,,0
Dudhpokhari,"1,137","1,313","2,450",,,,,,,,,,,,,,,,0
Fasku,"1,877","2,461","4,338",,,,,1,1,,,,,,,,,,2
Gairimudi,"1,977","2,301","4,278",,,,,,,,,1,,,,,,,1
GauriSankar,464,511,975,,,,,,1,,,,,,,,,,1
GhangSukathokar,"1,942","2,288","4,230",,,,,1,,,,,,,,,,,1
Hawa,785,936,1721,,,,1,,,,,,,,,,,,1
Japhe,"1,837","1,947","3,784",,,,,,4,1,,,7,1,,,,,13
Jhule,"1,017","1,224","2,241",,,1,,1,,1,,,1,,,,,,4
Jhyaku,"2,211","2,426","4,637",,,1,,,,,1,,,,,,,,2
Jiri,"3,472","3,901","7,373",,,1,,,,,,,,,,,,,1
Jugu,"1,791","2,091","3,882",,,,,,,,,,,,,,,,0
Kabhre,"2,151","2,572","4,723",,,,,,,,,,,,,,,,0
Kalingchok,"1,409","1,397","2,806",,,,,,,,,2,,,,,,,2
Katakuti,"1,627","2,111","3,738",,,,,,1,,,,,,,,,,1
Khare,929,904,1833,,,,,,,,,,,1,,,,,1
Khopachagu,"1,035","1,163","2,198",,,1,4,,,,,,,,,,,,5
Laduk,"1,733","1,930","3,663",,,1,1,1,1,,2,1,2,,,,,,9
LakuriDada,"1,734","1,979","3,713",,,,,,,,,,,,,,,,0
Lamabagar,"1,040","1,058","2,098",,,,1,1,1,2,,,,1,,,,,6
Lamidada,"2,063","2,169","4,232",,,,,,1,1,1,,,,,,,,3
Lapilang,"2,383","2,559","4,942",,,,1,1,4,4,,,1,1,,,,,12
Magapauwa,"1,339","1,611","2,950",,,,,,,,,,,,,,,,0
Mali,"1,224","1,525","2,749",,,,,,,,,,,,,,,,0
Malu,"1,173","1,309","2,482",,,,,,1,,,,,,,,,,1
Marbu,698,711,1409,,,1,,,,,,,,,,,,,1
Melung,"1,596","1,970","3,566",,,,,1,,,,,,,,,,,1
Mirge,"1,567","1,915","3,482",,,,,,,,,1,,,,,,,1
Namdu,"2,284","2,662","4,946",,,,2,,,1,,,1,,,,,,4
Orang,"1,077","1,080","2,157",,,,,1,,1,,4,,,,,,,6
Pawati,"2,049","2,524","4,573",,,,,2,,,,,,,,,,,2
Sahare,"1,535","1,791","3,326",,,,,,1,,1,,,,,,,,2
Sailungeswor,"1,851","2,280","4,131",,,,,,,,,,1,,,,,,1
Sunkhani,"2,131","2,544","4,675",,,1,1,,3,,,,,,,,,,5
Sundrawati,"1,322","1,444","2,766",,,,,,,,,,,,,,,,0
Suri,"1,473","1,581","3,054",,,,2,,,,,1,,,,,,,3
SusmaChhemawati,"1,575","1,862","3,437",,,2,,1,,,3,,,,,,,,6
Syama,834,"1,033",1867,,,,,,,,,,,,,,,,0
Thulopatal,"1,611","1,915","3,526",,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,160